2025-03-06 23:21:48,651 Epochs: [115/300]; Train loss: 0.088472; Valid loss: 0.064285; mapping: 0.000000; lr: 0.000001 

2025-03-06 23:26:44,970 Epochs: [116/300]; Train loss: 0.087495; Valid loss: 0.065594; mapping: 0.000000; lr: 0.000001 

2025-03-06 23:31:41,613 Epochs: [117/300]; Train loss: 0.087531; Valid loss: 0.064769; mapping: 0.000000; lr: 0.000001 

2025-03-06 23:36:38,113 Epochs: [118/300]; Train loss: 0.087389; Valid loss: 0.063704; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:13:01,667 Epochs: [119/300]; Train loss: 0.087855; Valid loss: 0.066749; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:17:44,085 Epochs: [120/300]; Train loss: 0.087509; Valid loss: 0.065268; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:22:35,168 Epochs: [121/300]; Train loss: 0.088222; Valid loss: 0.067212; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:27:28,021 Epochs: [122/300]; Train loss: 0.087184; Valid loss: 0.065412; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:32:20,565 Epochs: [123/300]; Train loss: 0.087519; Valid loss: 0.064678; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:37:14,881 Epochs: [124/300]; Train loss: 0.087986; Valid loss: 0.065326; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:42:11,550 Epochs: [125/300]; Train loss: 0.087678; Valid loss: 0.065330; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:47:08,152 Epochs: [126/300]; Train loss: 0.087131; Valid loss: 0.064673; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:52:06,103 Epochs: [127/300]; Train loss: 0.087279; Valid loss: 0.064812; mapping: 0.000000; lr: 0.000001 

2025-03-09 18:57:11,427 Epochs: [128/300]; Train loss: 0.087839; Valid loss: 0.064942; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:02:04,765 Epochs: [129/300]; Train loss: 0.087416; Valid loss: 0.065641; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:07:01,253 Epochs: [130/300]; Train loss: 0.088870; Valid loss: 0.066477; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:12:01,264 Epochs: [131/300]; Train loss: 0.087526; Valid loss: 0.066645; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:16:58,861 Epochs: [132/300]; Train loss: 0.087679; Valid loss: 0.066505; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:21:55,531 Epochs: [133/300]; Train loss: 0.087393; Valid loss: 0.065626; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:27:02,030 Epochs: [134/300]; Train loss: 0.087854; Valid loss: 0.064620; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:32:17,475 Epochs: [135/300]; Train loss: 0.087620; Valid loss: 0.065688; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:37:25,651 Epochs: [136/300]; Train loss: 0.088273; Valid loss: 0.064381; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:42:38,962 Epochs: [137/300]; Train loss: 0.088308; Valid loss: 0.064630; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:47:41,513 Epochs: [138/300]; Train loss: 0.087647; Valid loss: 0.065344; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:52:45,563 Epochs: [139/300]; Train loss: 0.087412; Valid loss: 0.066373; mapping: 0.000000; lr: 0.000001 

2025-03-09 19:57:58,279 Epochs: [140/300]; Train loss: 0.087856; Valid loss: 0.064852; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:03:05,524 Epochs: [141/300]; Train loss: 0.087026; Valid loss: 0.064836; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:07:58,784 Epochs: [142/300]; Train loss: 0.087629; Valid loss: 0.064800; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:12:56,211 Epochs: [143/300]; Train loss: 0.086776; Valid loss: 0.065656; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:17:54,170 Epochs: [144/300]; Train loss: 0.086931; Valid loss: 0.065017; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:22:49,163 Epochs: [145/300]; Train loss: 0.087924; Valid loss: 0.064668; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:27:51,245 Epochs: [146/300]; Train loss: 0.088245; Valid loss: 0.066325; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:32:51,184 Epochs: [147/300]; Train loss: 0.088341; Valid loss: 0.065307; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:37:57,799 Epochs: [148/300]; Train loss: 0.087482; Valid loss: 0.065337; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:43:01,514 Epochs: [149/300]; Train loss: 0.087197; Valid loss: 0.064999; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:48:08,813 Epochs: [150/300]; Train loss: 0.087851; Valid loss: 0.064457; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:53:13,370 Epochs: [151/300]; Train loss: 0.087281; Valid loss: 0.065350; mapping: 0.000000; lr: 0.000001 

2025-03-09 20:58:18,539 Epochs: [152/300]; Train loss: 0.086807; Valid loss: 0.064296; mapping: 0.000000; lr: 0.000001 

2025-03-09 21:03:21,975 Epochs: [153/300]; Train loss: 0.087321; Valid loss: 0.065185; mapping: 0.000000; lr: 0.000001 

2025-03-09 22:33:28,672 Epochs: [154/300]; Train loss: 0.087666; Valid loss: 0.065329; mapping: 0.000000; lr: 0.000001 

